year,month,rate
2020,1,0.0037663336752904453
2020,2,0.00293728631555501
2020,3,0.0033836914846629984
2020,4,0.0028492490278402283
2020,5,0.0023580961930711464
2020,6,0.0021233217736713605
2020,7,0.0019434641302638056
2020,8,0.001598895978929482
2020,9,0.0015696620595304633
2020,10,0.0015696620595304633
2020,11,0.0014948604084066286
2020,12,0.0016444692975896569
2021,1,0.0014948604084066286
2021,2,0.0013452738652959262
2021,3,0.0020107988327939808
2021,4,0.0020778480243350828
2021,5,0.0027032626398217907
2021,6,0.003077789683316512
2021,7,0.003556161780191802
2021,8,0.004279524773424859
2021,9,0.0044199933223521
2021,10,0.004859961025168724
2021,11,0.005867490939004627
2021,12,0.007690830818633421
2022,1,0.007322703246089635
2022,2,0.007550409870388908
2022,3,0.009270538628930902
2022,4,0.00834320523721388
2022,5,0.010345923015313563
2022,6,0.010153156089369508
2022,7,0.010348424349291951
2022,8,0.011693612800063313
2022,9,0.010719822473548524
2022,10,0.010206758664957682
2022,11,0.010206758664957682
2022,12,0.011233146856986398
2023,1,0.011233146856986398
2023,2,0.009181412243290277
2023,3,0.01174673194761211
2023,4,0.009181412243290277
2023,5,0.011233146856986398
2023,6,0.010719822473548524
2023,7,0.010719822473548524
2023,8,0.011374956476198017
2023,9,0.009729017544111374
2023,10,0.009975672238483169
2023,11,0.009159878255821985
2023,12,0.008945247967375058
2024,1,0.00966690174365814
2024,2,0.008002004357681836
2024,3,0.008316737660555074
2024,4,0.008874331113757794
2024,5,0.008324420253383646
2024,6,0.007883369678362895
2024,7,0.009071223424248709
2024,8,0.008675116705918473
2024,9,0.00835157409379228
2024,10,0.009279575755079428
2024,11,0.007929903920274706
2024,12,0.0093143107189948
2025,1,0.010132013564148279
2025,2,0.009853222624513602
2025,3,0.009640295622482142
2025,4,0.010558796236773471
2025,5,0.011387758548166316
2025,6,0.010970512720405834
2025,7,0.01275732508747951
2025,8,0.011641561387977895
2025,9,0.012199289497186738
2025,10,0.01275732508747951
2025,11,0.010527026935209127
2025,12,0.012199289497186738
2026,1,0.011641561387977895
2026,2,0.009970220253081363
2026,3,0.012120535925043807
2026,4,0.00707759519586193
